Denominator(s+s0),Fold Change,Gene ID,Gene Name,Numerator(r),Score(d),direction,gpl,gse,index,log2foldChange,myGeneId,myGeneSym,q-value(%),subset
0.306,0.693,GI_37541412-S,GI_37541412-S,-0.53,-1.734,down,GPL2700,GSE13052,,-0.53,,,12.408,Acute
0.152,0.833,GI_31982908-S,GI_31982908-S,-0.264,-1.734,down,GPL2700,GSE13052,,-0.264,84124.0,ZNF394,12.408,Acute
0.313,0.686,GI_38505204-S,GI_38505204-S,-0.543,-1.733,down,GPL2700,GSE13052,,-0.543,5728.0,PTEN,12.408,Acute
0.407,0.613,GI_32484986-S,GI_32484986-S,-0.705,-1.733,down,GPL2700,GSE13052,,-0.705,55365.0,TMEM176A,12.408,Acute
0.181,0.805,GI_26051257-I,GI_26051257-I,-0.313,-1.733,down,GPL2700,GSE13052,,-0.313,115727.0,RASGRP4,12.408,Acute
0.189,0.797,GI_11231178-A,GI_11231178-A,-0.327,-1.733,down,GPL2700,GSE13052,,-0.327,,,12.408,Acute
0.214,0.774,GI_22095370-S,GI_22095370-S,-0.37,-1.733,down,GPL2700,GSE13052,,-0.37,80230.0,RUFY1,12.408,Acute
0.303,0.695,GI_22035654-A,GI_22035654-A,-0.526,-1.733,down,GPL2700,GSE13052,,-0.526,23780.0,APOL2,12.408,Acute
0.344,0.662,GI_6912653-S,GI_6912653-S,-0.596,-1.732,down,GPL2700,GSE13052,,-0.596,23451.0,SF3B1,12.408,Acute
0.171,0.815,GI_29570801-I,GI_29570801-I,-0.296,-1.731,down,GPL2700,GSE13052,,-0.296,60437.0,CDH26,12.408,Acute
0.16,0.825,GI_6031206-S,GI_6031206-S,-0.277,-1.731,down,GPL2700,GSE13052,,-0.277,5048.0,PAFAH1B1,12.408,Acute
0.259,0.733,GI_13376622-S,GI_13376622-S,-0.448,-1.731,down,GPL2700,GSE13052,,-0.448,80145.0,THOC7,12.408,Acute
0.177,0.809,GI_31377838-S,GI_31377838-S,-0.306,-1.73,down,GPL2700,GSE13052,,-0.306,80095.0,ZNF606,12.408,Acute
0.197,0.79,GI_38372908-S,GI_38372908-S,-0.34,-1.73,down,GPL2700,GSE13052,,-0.34,51780.0,KDM3B,12.408,Acute
0.184,0.802,GI_24308056-S,GI_24308056-S,-0.319,-1.73,down,GPL2700,GSE13052,,-0.319,25891.0,PAMR1,12.408,Acute
0.147,0.839,GI_21361938-S,GI_21361938-S,-0.254,-1.729,down,GPL2700,GSE13052,,-0.254,80704.0,SLC19A3,12.408,Acute
0.255,0.737,GI_13786122-S,GI_13786122-S,-0.441,-1.728,down,GPL2700,GSE13052,,-0.441,83439.0,TCF7L1,12.408,Acute
0.373,0.639,GI_7661995-S,GI_7661995-S,-0.645,-1.728,down,GPL2700,GSE13052,,-0.645,9926.0,LPGAT1,12.408,Acute
0.315,0.685,GI_31343528-S,GI_31343528-S,-0.545,-1.728,down,GPL2700,GSE13052,,-0.545,168455.0,CCDC71L,12.408,Acute
0.14,0.846,GI_18087856-S,GI_18087856-S,-0.242,-1.728,down,GPL2700,GSE13052,,-0.242,140739.0,UBE2F,12.408,Acute
0.159,0.827,GI_34335278-A,GI_34335278-A,-0.275,-1.728,down,GPL2700,GSE13052,,-0.275,5696.0,PSMB8,12.408,Acute
0.543,0.522,GI_21536375-S,GI_21536375-S,-0.938,-1.728,down,GPL2700,GSE13052,,-0.938,19.0,ABCA1,12.408,Acute
0.237,0.753,GI_28872758-A,GI_28872758-A,-0.409,-1.728,down,GPL2700,GSE13052,,-0.409,,,12.408,Acute
0.248,0.743,GI_32483398-S,GI_32483398-S,-0.428,-1.728,down,GPL2700,GSE13052,,-0.428,5062.0,PAK2,12.408,Acute
0.163,0.823,GI_4503760-S,GI_4503760-S,-0.282,-1.727,down,GPL2700,GSE13052,,-0.282,2330.0,FMO5,12.408,Acute
0.627,0.472,GI_37547284-S,GI_37547284-S,-1.082,-1.727,down,GPL2700,GSE13052,,-1.082,,,12.408,Acute
